code,name,board
PMJS,Putra Mandiri Jembar Tbk.,Pengembangan
UCID,Uni-Charm Indonesia Tbk.,Utama
GLVA,Galva Technologies Tbk.,Pengembangan
PGJO,Tourindo Guide Indonesia Tbk.,Akselerasi
AMAR,Bank Amar Indonesia Tbk.,Pengembangan
CSRA,Cisadane Sawit Raya Tbk.,Pengembangan
INDO,Royalindo Investa Wijaya Tbk.,Pengembangan
AMOR,Ashmore Asset Management Indon,Pengembangan
TRIN,Perintis Triniti Properti Tbk.,Pengembangan
PTPW,Pratama Widya Tbk.,Pengembangan
AYLS,Agro Yasa Lestari Tbk.,Pengembangan
ASPI,Andalan Sakti Primaindo Tbk.,Pengembangan
ESTA,Esta Multi Usaha Tbk.,Pengembangan
BESS,Batulicin Nusantara Maritim Tb,Pengembangan
BBSS,Bumi Benowo Sukses Sejahtera T,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,Akselerasi
TECH,Indosterling Technomedia Tbk.,Pengembangan
UANG,Pakuan Tbk.,Pengembangan
SOFA,Boston Furniture Industries Tb,Akselerasi
PPGL,Prima Globalindo Logistik Tbk.,Akselerasi
SGER,Sumber Global Energy Tbk.,Pengembangan
TRJA,Transkon Jaya Tbk.,Pengembangan
PNGO,Pinago Utama Tbk.,Pengembangan
SCNP,Selaras Citra Nusantara Perkas,Pengembangan
BBSI,Krom Bank Indonesia Tbk.,Pengembangan
KMDS,Kurniamitra Duta Sentosa Tbk.,Pengembangan
PURI,Puri Global Sukses Tbk.,Pengembangan
SOHO,Soho Global Health Tbk.,Pengembangan
HOMI,Grand House Mulia Tbk.,Pengembangan
PLAN,Planet Properindo Jaya Tbk.,Akselerasi
VICI,Victoria Care Indonesia Tbk.,Utama
PMMP,Panca Mitra Multiperdana Tbk.,Pengembangan
WIFI,Solusi Sinergi Digital Tbk.,Pengembangan
FAPA,FAP Agri Tbk.,Pengembangan
DCII,DCI Indonesia Tbk.,Pengembangan
KETR,Ketrosden Triasmitra Tbk.,Pengembangan
DGNS,Diagnos Laboratorium Utama Tbk,Pengembangan
UFOE,Damai Sejahtera Abadi Tbk.,Pengembangan
BANK,Bank Aladin Syariah Tbk.,Utama
EDGE,Indointernet Tbk.,Pengembangan
UNIQ,Ulima Nitra Tbk.,Utama
SNLK,Sunter Lakeside Hotel Tbk.,Pengembangan
ZYRX,Zyrexindo Mandiri Buana Tbk.,Pengembangan
LFLO,Imago Mulia Persada Tbk.,Akselerasi
